participant,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
239,24.0,0.0,Family,Extinguisher,Ryan,Basketball,,18.0,6.0,1.444315,person,place,object,1.0,9.365255,4.0,1.0,1.92337,2.0,1.0,2.1243950000000003,3.0,1.0,1.7737049999999999,1.0,1.0,7.594225,1.0,1.0,2.74847,2.0,0.0,1.0,17.444625
239,1.0,1.0,Date,Pitcher,Reese,Studio,,22.0,6.0,1.1047049999999998,person,place,object,1.0,12.310365,3.0,1.0,2.3088599999999997,3.0,1.0,2.32556,2.0,1.0,1.743275,1.0,1.0,6.27238,2.0,1.0,2.12546,2.0,7.0,1.0,1.378565
239,4.0,2.0,Exercise,Beachball,Will,Casino,,23.0,6.0,1.0752549999999998,object,person,place,1.0,14.903425,1.0,1.0,1.9571599999999998,2.0,1.0,2.17496,2.0,1.0,2.124925,1.0,1.0,2.13442,2.0,1.0,4.667815,1.0,10.0,1.0,1.037895
239,10.0,3.0,Work,Easel,Emma,Aquarium,,10.0,6.0,0.925675,object,place,person,1.0,9.603535,2.0,1.0,3.19274,4.0,1.0,3.094945,4.0,1.0,1.60994,1.0,1.0,3.36176,2.0,1.0,1.85723,1.0,21.0,1.0,0.772015
239,9.0,4.0,Shopping,Duster,Robert,Kitchen,10.470755,14.0,6.0,1.99092,place,object,person,1.0,20.9232,4.0,1.0,2.6433150000000003,2.0,1.0,2.359465,1.0,1.0,9.28333,2.0,1.0,2.575185,1.0,1.0,2.0973,1.0,23.0,1.0,0.7379100000000001
239,21.0,5.0,Home,Gloves,Angelina,Cabin,5.567655,16.0,6.0,1.204895,place,object,person,1.0,17.425685,2.0,1.0,1.7735599999999998,1.0,1.0,2.4457150000000003,3.0,1.0,3.0451200000000003,1.0,1.0,4.165575,2.0,1.0,2.92768,2.0,3.0,1.0,1.1553950000000002
239,23.0,6.0,Eating,Hammock,Brad,Restaurant,,17.0,6.0,1.3920299999999999,person,object,place,1.0,7.9452050000000005,1.0,1.0,3.32931,3.0,1.0,2.25858,3.0,1.0,2.8944400000000003,1.0,1.0,2.191855,2.0,1.0,3.4134900000000004,2.0,11.0,1.0,0.5857899999999999
239,16.0,7.0,Winter,Record,Samuel,Dining Room,3.144975,0.0,6.0,2.522875,place,person,object,1.0,17.7431,2.0,1.0,8.59705,2.0,1.0,4.532705,3.0,1.0,5.639365,1.0,1.0,2.37246,1.0,1.0,2.96095,1.0,16.0,1.0,1.00447
239,2.0,8.0,Volunteer,Flowers,Jennifer,Waterfall,,21.0,6.0,1.24041,person,place,object,1.0,34.062295,1.0,1.0,3.312245,3.0,1.0,2.44706,4.0,1.0,2.264465,2.0,1.0,1.8572549999999999,1.0,1.0,1.772205,1.0,22.0,1.0,0.688045
239,6.0,9.0,Sightseeing,Ladder,Adam,Beach,,1.0,3.0,2.47696,object,place,person,0.0,45.45619,4.0,1.0,23.903325,1.0,0.0,22.4987,2.0,1.0,15.456755,2.0,1.0,4.14914,2.0,1.0,2.641715,2.0,5.0,1.0,1.0208899999999999
