participant,expName,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,resp_enc_success.keys,resp_enc_success.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
340,grpA,22.0,0.0,Travel,Computer,George,Field,,2.0,4.2550550000000005,15.0,1.0,0.41656000000000004,object,person,place,0.0,2.392205,1.0,1.0,0.719495,1.0,1.0,0.5179050000000001,1.0,1.0,0.27186,1.0,0.0,0.266935,1.0,0.0,0.23435999999999998,1.0,19.0,1.0,0.00264
340,grpA,16.0,1.0,Winter,Record,Samuel,Dining Room,,6.0,1.3701649999999999,6.0,1.0,1.062345,place,person,object,0.0,11.663464999999999,3.0,0.0,5.014175,4.0,1.0,4.539645,3.0,0.0,2.5220849999999997,2.0,1.0,1.918225,1.0,1.0,0.7836,1.0,16.0,1.0,0.106
340,grpA,24.0,2.0,Family,Extinguisher,Ryan,Basketball,13.486325,4.0,4.016775,22.0,2.0,0.064265,person,place,object,0.0,0.196695,1.0,0.0,0.11595499999999999,1.0,0.0,0.289655,2.0,1.0,0.32204,1.0,0.0,0.15096500000000002,2.0,1.0,0.149355,2.0,10.0,1.0,0.032755
340,grpA,1.0,3.0,Date,Pitcher,Reese,Studio,12.85012,2.0,1.136525,9.0,1.0,0.81709,person,place,object,1.0,12.583089999999999,3.0,0.0,4.885405,4.0,0.0,1.783205,1.0,1.0,2.16687,1.0,0.0,2.450775,1.0,1.0,1.2018950000000002,2.0,8.0,1.0,0.07142000000000001
340,grpA,11.0,4.0,Games,Binoculars,Leonardo,Lake,12.94805,4.0,1.7685349999999997,12.0,6.0,0.10175,object,place,person,0.0,0.13413,1.0,0.0,0.0006799999999999999,1.0,0.0,0.167235,1.0,0.0,0.814395,2.0,1.0,0.866605,1.0,0.0,0.75041,1.0,4.0,1.0,0.200405
340,grpA,8.0,5.0,Competition,Goggles,Scarlett,Savannah,,2.0,1.53435,17.0,3.0,0.402595,place,object,person,0.0,3.985775,2.0,0.0,2.907995,3.0,0.0,1.13503,3.0,1.0,0.597495,1.0,1.0,1.35412,2.0,1.0,1.0991600000000001,1.0,15.0,1.0,0.518545
340,grpA,21.0,6.0,Home,Gloves,Angelina,Cabin,,6.0,2.08779,0.0,1.0,3.04325,place,object,person,1.0,8.574805,2.0,1.0,4.009425,1.0,1.0,9.08521,3.0,1.0,3.4550300000000003,1.0,0.0,1.700965,1.0,1.0,4.067394999999999,2.0,11.0,1.0,0.018075
340,grpA,7.0,7.0,Art,Headphones,Denzel,Avenue,,6.0,2.2969049999999998,5.0,3.0,1.85225,person,object,place,1.0,7.899610000000001,2.0,1.0,4.348175,2.0,1.0,5.34929,3.0,1.0,2.7020299999999997,1.0,0.0,2.45063,1.0,1.0,1.239195,1.0,18.0,1.0,0.003045
340,grpA,3.0,8.0,Music,Bike,Halle,Lighthouse,3.3991849999999997,4.0,1.8173849999999998,7.0,2.0,1.07176,person,place,object,0.0,4.84814,2.0,0.0,2.43502,2.0,0.0,2.8193200000000003,4.0,0.0,1.6716400000000002,1.0,0.0,0.82044,1.0,0.0,0.70314,1.0,20.0,1.0,0.46798999999999996
340,grpA,6.0,9.0,Sightseeing,Ladder,Adam,Beach,4.567245,5.0,0.483835,10.0,2.0,0.14915499999999998,object,place,person,1.0,7.883305,2.0,0.0,0.62188,3.0,0.0,0.103975,2.0,1.0,1.1200649999999999,2.0,1.0,0.50231,2.0,0.0,0.47081999999999996,1.0,12.0,1.0,0.2997
340,grpA,4.0,10.0,Exercise,Beachball,Will,Casino,,4.0,24.453125,18.0,1.0,0.619765,object,person,place,0.0,2.97175,2.0,0.0,1.500235,1.0,0.0,6.017869999999999,1.0,0.0,1.3009,2.0,1.0,0.90123,2.0,1.0,1.568505,1.0,9.0,1.0,0.033985
340,grpA,12.0,11.0,Studying,Trampoline,Ellen,Classroom,12.674005000000001,5.0,1.224315,14.0,1.0,0.833715,place,person,object,0.0,5.833245,3.0,0.0,3.55986,3.0,0.0,1.34037,2.0,0.0,1.7860900000000002,1.0,1.0,1.600065,2.0,1.0,1.13832,1.0,23.0,1.0,0.000395
340,grpA,18.0,12.0,DIY,Chair,Beyonce,Wine Cellar,1.91641,4.0,1.4494,2.0,2.0,2.235805,person,object,place,1.0,5.849885,2.0,1.0,3.919285,3.0,1.0,5.886935,4.0,1.0,2.921395,2.0,1.0,1.533625,1.0,1.0,5.151725,1.0,3.0,1.0,0.28984499999999996
340,grpA,20.0,13.0,Friends,Backpack,Chris,Bridge,5.134565,3.0,1.333975,21.0,1.0,0.45561,object,place,person,0.0,0.216565,2.0,0.0,0.10024,1.0,0.0,0.004185,1.0,1.0,0.15529500000000002,2.0,1.0,0.40321,1.0,1.0,0.179405,1.0,7.0,1.0,0.381675
340,grpA,23.0,14.0,Eating,Hammock,Brad,Restaurant,7.034269999999999,5.0,1.817175,19.0,3.0,0.13329000000000002,person,object,place,0.0,2.80037,3.0,1.0,0.5206,3.0,1.0,0.26671,3.0,1.0,0.65364,1.0,0.0,0.832625,1.0,0.0,0.9792200000000001,1.0,2.0,1.0,0.53375
340,grpA,10.0,15.0,Work,Easel,Emma,Aquarium,1.5687950000000002,4.0,1.42139,11.0,2.0,0.23256999999999997,object,place,person,1.0,0.331755,2.0,0.0,0.21804,1.0,0.0,0.24675500000000003,1.0,1.0,0.4182,1.0,1.0,0.31432,2.0,0.0,0.30171,2.0,0.0,1.0,2.25564
340,grpA,9.0,16.0,Shopping,Duster,Robert,Kitchen,2.3174349999999997,6.0,1.768735,20.0,2.0,0.054725,place,object,person,0.0,4.05469,1.0,0.0,0.355245,1.0,1.0,0.07875499999999999,1.0,1.0,0.73636,2.0,1.0,0.16998,1.0,1.0,0.133355,1.0,22.0,1.0,0.405335
340,grpA,14.0,17.0,Relaxing,Stroller,Steve,Ski Slope,,6.0,1.4628700000000001,4.0,1.0,1.1187799999999999,place,person,object,0.0,7.93209,3.0,0.0,5.103815,3.0,0.0,5.949365,3.0,0.0,2.2484450000000002,1.0,1.0,1.640165,2.0,1.0,1.3524399999999999,1.0,1.0,1.0,0.26736
340,grpA,13.0,18.0,Errands,Stopwatch,Tom,Icerink,13.79171,6.0,1.204105,3.0,1.0,0.7203,place,object,person,0.0,7.3521,1.0,0.0,5.97069,3.0,0.0,0.839195,2.0,1.0,2.0490049999999997,1.0,1.0,2.169645,1.0,0.0,1.0877350000000001,1.0,14.0,1.0,0.000375
340,grpA,19.0,19.0,Vacation,Wine,Julia,Pool,6.167415,6.0,1.36625,1.0,1.0,3.613875,person,object,place,1.0,19.228360000000002,3.0,1.0,4.96654,4.0,1.0,19.27947,2.0,1.0,4.570775,2.0,1.0,1.54746,1.0,1.0,5.205285,2.0,5.0,1.0,0.15099
