participant,expName,event_id,encoding.thisN,theme,object_label,person_label,place_label,resp_encSpace.rt,resp_enc_success.keys,resp_enc_success.rt,retrieval.thisN,resp_ret_vividness.keys,resp_ret_vividness.rt,q1_type,q2_type,q3_type,resp_gistmem1.corr,resp_gistmem1.rt,resp_gistmem1.keys,resp_gistmem2.corr,resp_gistmem2.rt,resp_gistmem2.keys,resp_gistmem3.corr,resp_gistmem3.rt,resp_gistmem3.keys,resp_detailmem1.corr,resp_detailmem1.rt,resp_detailmem1.keys,resp_detailmem2.corr,resp_detailmem2.rt,resp_detailmem2.keys,resp_detailmem3.corr,resp_detailmem3.rt,resp_detailmem3.keys,familiarity.thisN,resp_facefam.keys,resp_facefam.rt
356,grpB,8.0,0.0,Competition,Goggles,Scarlett,Savannah,,5.0,7.2705,5.0,6.0,1.13805,place,object,person,1.0,2.558935,1.0,1.0,2.10583,1.0,1.0,4.6348,4.0,0.0,10.99869,2.0,1.0,1.9219400000000002,2.0,1.0,1.13729,1.0,16.0,1.0,0.27231500000000003
356,grpB,2.0,1.0,Volunteer,Flowers,Jennifer,Waterfall,,3.0,1.973425,23.0,6.0,0.9633149999999999,person,place,object,1.0,1.8571099999999998,1.0,1.0,1.294825,3.0,1.0,0.923955,4.0,1.0,2.0108099999999998,2.0,1.0,5.071845,1.0,1.0,1.07651,1.0,23.0,1.0,0.48626
356,grpB,9.0,2.0,Shopping,Duster,Robert,Kitchen,10.680955,6.0,3.4809400000000004,17.0,6.0,1.289755,place,object,person,1.0,12.407435000000001,4.0,1.0,0.971195,2.0,1.0,10.207835000000001,1.0,1.0,10.414695,2.0,1.0,0.8192200000000001,1.0,0.0,1.544395,2.0,5.0,1.0,0.32372
356,grpB,20.0,3.0,Friends,Backpack,Chris,Bridge,8.52802,4.0,3.66309,3.0,6.0,3.6026849999999997,object,place,person,1.0,4.09831,3.0,1.0,1.9666099999999997,4.0,1.0,0.66382,2.0,1.0,1.8572849999999999,2.0,1.0,6.586614999999999,1.0,0.0,2.3407400000000003,2.0,13.0,1.0,0.21781999999999999
356,grpB,21.0,4.0,Home,Gloves,Angelina,Cabin,10.27098,6.0,2.390715,8.0,6.0,1.3802450000000002,place,object,person,1.0,3.86372,2.0,1.0,0.92835,1.0,0.0,1.02023,4.0,1.0,6.904265,1.0,1.0,1.5099200000000002,2.0,1.0,3.118005,2.0,21.0,1.0,0.36849
356,grpB,14.0,5.0,Relaxing,Stroller,Steve,Ski Slope,,5.0,3.02883,13.0,4.0,1.43802,place,person,object,1.0,3.9121,1.0,1.0,1.162085,1.0,1.0,0.73811,2.0,1.0,5.583425,2.0,1.0,5.301465,2.0,1.0,1.4960799999999999,1.0,1.0,1.0,0.41886999999999996
356,grpB,13.0,6.0,Errands,Stopwatch,Tom,Icerink,,3.0,1.67713,12.0,6.0,1.337645,place,object,person,1.0,2.7785599999999997,3.0,1.0,2.809475,4.0,1.0,1.102635,1.0,0.0,8.824264999999999,2.0,0.0,2.0897900000000003,2.0,0.0,1.179635,1.0,22.0,1.0,0.318695
356,grpB,23.0,7.0,Eating,Hammock,Brad,Restaurant,10.12932,6.0,2.0055650000000003,0.0,6.0,1.588985,person,object,place,1.0,11.72208,1.0,1.0,3.6771949999999998,3.0,1.0,4.79655,3.0,0.0,3.0918,2.0,1.0,3.630175,2.0,1.0,2.08321,2.0,9.0,1.0,0.15190499999999998
356,grpB,1.0,8.0,Date,Pitcher,Reese,Studio,8.49892,6.0,1.8553400000000002,19.0,6.0,0.9896450000000001,person,place,object,1.0,1.73878,3.0,1.0,1.7743799999999998,3.0,1.0,0.96296,2.0,1.0,1.741905,1.0,0.0,4.249725,1.0,1.0,2.425695,2.0,20.0,1.0,0.369055
356,grpB,5.0,9.0,Party,Satchel,Anne,Bowling,,3.0,3.194265,7.0,4.0,1.3425049999999998,place,person,object,1.0,6.45233,3.0,1.0,0.771965,3.0,1.0,0.903475,1.0,0.0,6.157394999999999,1.0,1.0,3.6770300000000002,1.0,1.0,1.4214149999999999,2.0,2.0,1.0,0.544075
